[2024-11-21 16:24:26,714] INFO - musicbot.launcher | In run.py::MainThread(12096), line 858 in main: Loading MusicBot version:  release-040724-dirty
[2024-11-21 16:24:26,717] INFO - musicbot.launcher | In run.py::MainThread(12096), line 859 in main: Log opened:  Thu Nov 21 16:24:26 2024
[2024-11-21 16:24:26,717] INFO - musicbot.launcher | In run.py::MainThread(12096), line 337 in sanity_checks: Starting sanity checks
[2024-11-21 16:24:26,717] INFO - musicbot.launcher | In run.py::MainThread(12096), line 374 in req_ensure_py3: Checking for Python 3.8+
[2024-11-21 16:24:26,717] INFO - musicbot.launcher | In run.py::MainThread(12096), line 434 in req_ensure_py3: Python version:  3.11.5 (tags/v3.11.5:cce6ba9, Aug 24 2023, 14:38:34) [MSC v.1936 64 bit (AMD64)]
[2024-11-21 16:24:26,717] INFO - musicbot.launcher | In run.py::MainThread(12096), line 463 in req_ensure_env: Ensuring we're in the right environment
[2024-11-21 16:24:26,718] INFO - musicbot.launcher | In run.py::MainThread(12096), line 507 in req_ensure_env: Adding local bins/ folder to path
[2024-11-21 16:24:26,921] INFO - musicbot.launcher | In run.py::MainThread(12096), line 351 in sanity_checks: Required checks passed.
[2024-11-21 16:24:26,922] INFO - musicbot.launcher | In run.py::MainThread(12096), line 364 in sanity_checks: Skipped checking for updates.
[2024-11-21 16:24:26,922] INFO - musicbot.launcher | In run.py::MainThread(12096), line 366 in sanity_checks: Optional checks passed.
[2024-11-21 16:24:27,893] DEBUG - musicbot.entry | In entry.py::MainThread(12096), line 43 in <module>: module 'pymediainfo' not found, will fall back to ffprobe.
[2024-11-21 16:24:27,904] INFO - musicbot.bot | In bot.py::MainThread(12096), line 129 in __init__: Initializing MusicBot release-040724-dirty
[2024-11-21 16:24:27,909] INFO - musicbot.config | In config.py::MainThread(12096), line 103 in __init__: Loading config from:  config\options.ini
[2024-11-21 16:24:27,912] INFO - musicbot.utils | In utils.py::MainThread(12096), line 238 in set_logging_level: Changing log level to:  INFO
[2024-11-21 16:24:27,914] INFO - musicbot.config | In config.py::MainThread(12096), line 836 in run_checks: Using i18n: config\i18n\en.json
[2024-11-21 16:24:27,915] INFO - musicbot.config | In config.py::MainThread(12096), line 869 in run_checks: Audio Cache will be stored in:  D:\GITHUB\MusicBot\MusicBot\audio_cache
[2024-11-21 16:24:29,194] WARNING - musicbot.bot | In bot.py::MainThread(12096), line 238 in setup_hook: The config did not have Spotify app credentials, attempting to use guest mode.
[2024-11-21 16:24:29,499] INFO - musicbot.bot | In bot.py::MainThread(12096), line 248 in setup_hook: Authenticated with Spotify successfully using guest mode.
[2024-11-21 16:24:29,499] INFO - musicbot.bot | In bot.py::MainThread(12096), line 258 in setup_hook: Initialized, now connecting to discord.
[2024-11-21 16:24:32,954] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2052 in _on_ready_once: MusicBot:  1094024367886831617/Bot của Toàn#7653
[2024-11-21 16:24:32,954] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2061 in _on_ready_once: Owner:     753272101343068160/tranduytoan#0

[2024-11-21 16:24:32,955] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2068 in _on_ready_once: Guild List:
[2024-11-21 16:24:32,955] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2072 in _on_ready_once:  - Shibe on top
[2024-11-21 16:24:32,955] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2159 in _on_ready_once: Not bound to any text channels
[2024-11-21 16:24:32,955] INFO - musicbot.bot | In bot.py::MainThread(12096), line 2208 in _on_ready_once: Not autojoining any voice channels
[2024-11-21 16:24:36,951] INFO - musicbot.bot | In bot.py::MainThread(12096), line 470 in _auto_join_channels: Checking for channels to auto-join or resume...
[2024-11-21 16:24:36,952] INFO - musicbot.bot | In bot.py::MainThread(12096), line 518 in _auto_join_channels: Found owner in voice channel:  lol
[2024-11-21 16:24:36,952] INFO - musicbot.bot | In bot.py::MainThread(12096), line 550 in _auto_join_channels: Attempting to join channel:  Shibe on top/lol  in guild:  Shibe on top
[2024-11-21 16:24:38,318] INFO - musicbot.bot | In bot.py::MainThread(12096), line 605 in _auto_join_channels: Finished joining configured channels.
[2024-11-21 16:24:38,320] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=WL11bwvAYWI
[2024-11-21 16:24:43,232] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=WL11bwvAYWI
[2024-11-21 16:24:56,128] INFO - musicbot.bot | In bot.py::MainThread(12096), line 7188 in on_message: Message from 753272101343068160/tranduytoan: ?skip f
[2024-11-21 16:24:56,184] WARNING - musicbot.player | In player.py::MainThread(12096), line 465 in _handle_file_cleanup: Cannot delete file due to a permissions error.
Traceback (most recent call last):
  File "D:\GITHUB\MusicBot\MusicBot\musicbot\player.py", line 458, in _handle_file_cleanup
    os.unlink(filename)
PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'D:\\GITHUB\\MusicBot\\MusicBot\\audio_cache\\youtube-WL11bwvAYWI-NGAY_MAI_NG_I_TA_L_Y_CH_NG_-_THANH_T_x_ONG_THIEN_C_OFFICIAL_MV_Ngay_Hom_y_Em_i_Trong_M_a-NA.webm'
[2024-11-21 16:24:56,185] WARNING - musicbot.player | In player.py::MainThread(12096), line 465 in _handle_file_cleanup: Cannot delete file due to a permissions error.
Traceback (most recent call last):
  File "D:\GITHUB\MusicBot\MusicBot\musicbot\player.py", line 458, in _handle_file_cleanup
    os.unlink(filename)
PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'D:\\GITHUB\\MusicBot\\MusicBot\\audio_cache\\youtube-WL11bwvAYWI-NGAY_MAI_NG_I_TA_L_Y_CH_NG_-_THANH_T_x_ONG_THIEN_C_OFFICIAL_MV_Ngay_Hom_y_Em_i_Trong_M_a-NA.webm'
[2024-11-21 16:24:56,185] WARNING - musicbot.player | In player.py::MainThread(12096), line 465 in _handle_file_cleanup: Cannot delete file due to a permissions error.
Traceback (most recent call last):
  File "D:\GITHUB\MusicBot\MusicBot\musicbot\player.py", line 458, in _handle_file_cleanup
    os.unlink(filename)
PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'D:\\GITHUB\\MusicBot\\MusicBot\\audio_cache\\youtube-WL11bwvAYWI-NGAY_MAI_NG_I_TA_L_Y_CH_NG_-_THANH_T_x_ONG_THIEN_C_OFFICIAL_MV_Ngay_Hom_y_Em_i_Trong_M_a-NA.webm'
[2024-11-21 16:24:59,278] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=fB8TyLTD7EE
[2024-11-21 16:25:02,515] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=fB8TyLTD7EE
[2024-11-21 16:28:35,817] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=C5fLxtJH2Qs
[2024-11-21 16:28:39,063] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=C5fLxtJH2Qs
[2024-11-21 16:32:25,793] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=1Z6CHioIn3s
[2024-11-21 16:32:28,890] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=1Z6CHioIn3s
[2024-11-21 16:36:03,858] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=Zasx9hjo4WY
[2024-11-21 16:36:07,042] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=Zasx9hjo4WY
[2024-11-21 16:39:56,082] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=L7kF4MXXCoA
[2024-11-21 16:39:59,441] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=L7kF4MXXCoA
[2024-11-21 16:43:37,474] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=C3GouGa0noM
[2024-11-21 16:43:40,648] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=C3GouGa0noM
[2024-11-21 16:47:58,958] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=L-VMCv4Y9l8
[2024-11-21 16:48:02,067] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=L-VMCv4Y9l8
[2024-11-21 16:51:49,013] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=Nqqc2FHf9Ug
[2024-11-21 16:51:52,520] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=Nqqc2FHf9Ug
[2024-11-21 16:56:47,312] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=PebLShakKCE
[2024-11-21 16:56:50,677] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=PebLShakKCE
[2024-11-21 17:01:33,856] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=liPu1_aPH5k
[2024-11-21 17:01:37,016] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=liPu1_aPH5k
[2024-11-21 17:05:13,595] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=eEFVxI9lqjU
[2024-11-21 17:05:16,771] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=eEFVxI9lqjU
[2024-11-21 17:07:58,756] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=ZHhqwBwmRkI
[2024-11-21 17:08:02,027] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=ZHhqwBwmRkI
[2024-11-21 17:12:24,052] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=EIwtr-VqwcM
[2024-11-21 17:12:26,505] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=EIwtr-VqwcM
[2024-11-21 17:16:49,829] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=CdZN8PI3MqM
[2024-11-21 17:16:53,357] INFO - musicbot.entry | In entry.py::MainThread(12096), line 699 in _really_download: Download complete:  https://www.youtube.com/watch?v=CdZN8PI3MqM
[2024-11-21 17:20:20,533] INFO - musicbot.entry | In entry.py::MainThread(12096), line 667 in _really_download: Download started:  https://www.youtube.com/watch?v=S19UcWdOA-I
